;Total number of test cases ran;Average number of test cases ran per shrink;Total time spent shrinking;Mean time spent per trace;Mean shrinking percentage - total;Mean shrinking percentage - input
ShortestPathShrinker;195;9.75;94.828504638;4.7414252319;85.49408882276579;86.37098031261047
ShortestPathLabelCount;141;7.05;63.20877395699999;3.1604386978499996;85.49408882276579;86.37098031261047
PartialOrderShrinker;161;8.05;73.547116434;3.6773558217;85.49408882276579;86.37098031261047
CycleShrink2;70;3.5;16.812918845;0.8406459422499999;85.49408882276579;86.37098031261047
BinaryShrink2;186;9.3;31.618659751;1.58093298755;84.35725709208056;85.19977190176039
CycleShrink2, ElemShrink2;131;6.55;42.719810626999994;2.1359905313499996;85.60607090563254;86.4829623954772
CycleShrink2, BinaryShrink2;132;6.6;40.800682914999996;2.04003414575;85.60607090563254;86.4829623954772
