# Generated on: 2024-07-09 22:55:47.689294482 +0200'# Shrunk Traces 3'
# Start total, inputs: 135, 62'
# Start: [28, 18, 27]'
# Start inputs: [22, 15, 25]'
# Start max, min, avg: 25, 15, 20.666666666666668'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathLabelCount]';26.837417961999996;'[9.400683955, 11.347336194, 6.089397813]';42;266;'[82, 122, 62]';221;'[68, 102, 51]';3;3;3.0;'[3, 3, 3]';4;4;4.0;'[4, 4, 4]';'39';'254';'212';'3';'12';'9';'0';'0';'0';0.1008925487293233
'[Shrinking::PartialOrderShrinker]';0.062905342;'[0.013258286, 0.012211782, 0.037435274]';3;15;'[5, 5, 5]';12;'[4, 4, 4]';4;4;4.0;'[4, 4, 4]';5;5;5.0;'[5, 5, 5]';'0';'0';'0';'3';'15';'12';'0';'0';'0';0.004193689466666667
'[Shrinking::CycleShrink2]';0.112878898;'[0.025631963, 0.029008266, 0.058238669]';5;48;'[5, 18, 25]';40;'[4, 15, 21]';9;4;6.0;'[4, 5, 9]';11;5;7.333333333333333;'[5, 6, 11]';'0';'0';'0';'5';'48';'40';'0';'0';'0';0.0023516437083333334
'[Shrinking::BinaryShrink2]';1.308792638;'[0.166817389, 0.50466573, 0.637309519]';38;276;'[86, 154, 36]';239;'[75, 134, 30]';8;2;5.333333333333333;'[6, 8, 2]';10;3;6.666666666666667;'[7, 10, 3]';'1';'1';'1';'15';'156';'127';'22';'119';'111';0.004742002311594202
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';2.3239155719999998;'[0.583196617, 0.569774704, 1.170944251]';23;121;'[17, 35, 69]';105;'[16, 31, 58]';4;2;3.3333333333333335;'[4, 4, 2]';5;3;4.333333333333333;'[5, 5, 3]';'4';'8';'8';'13';'95';'79';'6';'18';'18';0.019205913818181816
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';0.73687688;'[0.054573243, 0.085427736, 0.596875901]';20;91;'[17, 35, 39]';79;'[16, 31, 32]';4;2;3.3333333333333335;'[4, 4, 2]';5;3;4.333333333333333;'[5, 5, 3]';'1';'1';'1';'9';'66';'54';'10';'24';'24';0.00809754813186813
