# Generated on: 2024-07-09 23:03:35.609125696 +0200'# Shrunk Traces 3'
# Start total, inputs: 583, 264'
# Start: [123, 106, 90]'
# Start inputs: [106, 85, 73]'
# Start max, min, avg: 106, 73, 88.0'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathLabelCount]';48.599956019000004;'[18.53276271, 18.112896871, 11.954296438]';74;461;'[176, 176, 109]';349;'[135, 135, 79]';6;5;5.666666666666667;'[6, 6, 5]';8;7;7.666666666666667;'[8, 8, 7]';'71';'438';'332';'3';'23';'17';'0';'0';'0';0.10542289808893711
'[Shrinking::PartialOrderShrinker]';11.868990435;'[2.736679464, 2.772357906, 6.359953065]';25;148;'[39, 39, 70]';106;'[28, 28, 50]';7;5;6.333333333333333;'[7, 7, 5]';9;7;8.333333333333334;'[9, 9, 7]';'22';'123';'87';'3';'25';'19';'0';'0';'0';0.08019588131756757
'[Shrinking::CycleShrink2]';0.8956582399999999;'[0.127735016, 0.215007853, 0.552915371]';10;126;'[46, 67, 13]';104;'[39, 55, 10]';9;8;8.666666666666666;'[9, 9, 8]';11;10;10.666666666666666;'[11, 11, 10]';'1';'3';'2';'9';'123';'102';'0';'0';'0';0.00710839873015873
'[Shrinking::BinaryShrink2]';2.471388804;'[1.116344205, 0.820776875, 0.534267724]';60;835;'[364, 330, 141]';702;'[318, 267, 117]';8;5;7.0;'[8, 8, 5]';10;7;9.0;'[10, 10, 7]';'0';'0';'0';'27';'638';'519';'33';'197';'183';0.002959747070658683
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';2.9165765390000002;'[0.845615154, 0.884280621, 1.186680764]';36;315;'[115, 135, 65]';266;'[99, 114, 53]';7;5;6.333333333333333;'[7, 7, 5]';9;7;8.333333333333334;'[9, 9, 7]';'4';'22';'18';'16';'185';'150';'16';'108';'98';0.00925897313968254
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';1.3797383380000001;'[0.310025579, 0.389512561, 0.680200198]';45;346;'[133, 152, 61]';298;'[116, 130, 52]';7;5;6.333333333333333;'[7, 7, 5]';9;7;8.333333333333334;'[9, 9, 7]';'1';'3';'2';'15';'177';'144';'29';'166';'152';0.003987683057803468
