# Generated on: 2024-07-09 22:29:29.560572901 +0200'# Shrunk Traces 3'
# Start total, inputs: 392, 180'
# Start: [64, 93, 55]'
# Start inputs: [57, 78, 45]'
# Start max, min, avg: 78, 45, 60.0'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathLabelCount]';209.892808228;'[21.336782468, 146.931052232, 41.624973528]';275;2208;'[169, 1589, 450]';1798;'[128, 1300, 370]';9;6;7.333333333333333;'[6, 7, 9]';11;8;9.333333333333334;'[8, 9, 11]';'272';'2180';'1776';'3';'28';'22';'0';'0';'0';0.09506014865398552
'[Shrinking::PartialOrderShrinker]';7.179125422;'[2.370766033, 2.393270696, 2.415088693]';15;110;'[30, 35, 45]';86;'[22, 27, 37]';9;6;7.333333333333333;'[6, 7, 9]';11;8;9.333333333333334;'[8, 9, 11]';'12';'82';'64';'3';'28';'22';'0';'0';'0';0.06526477656363637
'[Shrinking::CycleShrink2]';0.299023272;'[0.128263574, 0.075757458, 0.09500224]';7;102;'[36, 21, 45]';86;'[30, 17, 39]';18;8;11.666666666666666;'[9, 8, 18]';21;10;14.0;'[11, 10, 21]';'0';'0';'0';'7';'102';'86';'0';'0';'0';0.002931600705882353
'[Shrinking::BinaryShrink2]';9.320928948999999;'[1.025873817, 5.929552959, 2.365502173]';82;1338;'[164, 364, 810]';1127;'[144, 303, 680]';18;4;9.666666666666666;'[7, 4, 18]';22;4;11.666666666666666;'[9, 4, 22]';'5';'26';'22';'30';'805';'664';'47';'507';'441';0.006966314610612854
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';7.113005802;'[0.839466881, 4.7450787, 1.528460221]';42;519;'[103, 63, 353]';453;'[88, 52, 313]';16;3;8.666666666666666;'[7, 3, 16]';19;3;10.333333333333334;'[9, 3, 19]';'5';'40';'34';'16';'186';'156';'21';'293';'263';0.01370521349132948
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';8.2062362;'[0.943584868, 5.258240977, 2.004410355]';61;700;'[117, 67, 516]';618;'[101, 55, 462]';16;3;8.666666666666666;'[7, 3, 16]';19;3;10.333333333333334;'[9, 3, 19]';'7';'29';'24';'15';'183';'153';'39';'488';'441';0.01172319457142857
