# Generated on: 2024-07-10 00:38:43.51165966 +0200'# Shrunk Traces 10'
# Start total, inputs: 734, 244'
# Start: [20, 62, 46, 52, 47, 20, 37, 50, 20, 136]'
# Start inputs: [10, 31, 23, 26, 23, 10, 18, 25, 10, 68]'
# Start max, min, avg: 68, 10, 24.4'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathShrinker]';60.082841528;'[6.669541764, 6.77680741, 6.319538344, 4.119451915, 4.095323484, 6.650768167, 6.338127629, 5.876540475, 6.293469309, 6.943273031]';111;778;'[84, 84, 84, 56, 56, 86, 84, 76, 84, 84]';389;'[42, 42, 42, 28, 28, 43, 42, 38, 42, 42]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';8;8;8.0;'[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]';'101';'698';'349';'10';'80';'40';'0';'0';'0';0.07722730273521851
'[Shrinking::ShortestPathLabelCount]';171.408371914;'[21.289939221, 18.506351697, 17.865441173, 11.934814762, 13.286311643, 20.294050041, 18.149816083, 16.426639017, 16.582736848, 17.072271429]';111;778;'[84, 84, 84, 56, 56, 86, 84, 76, 84, 84]';389;'[42, 42, 42, 28, 28, 43, 42, 38, 42, 42]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';8;8;8.0;'[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]';'101';'698';'349';'10';'80';'40';'0';'0';'0';0.22031924410539847
'[Shrinking::PartialOrderShrinker]';19.488262448999997;'[1.803686861, 2.800734092, 1.674353027, 1.703524073, 1.15716155, 3.095522413, 1.291694454, 2.97544809, 1.301809045, 1.684328844]';43;330;'[28, 42, 28, 28, 24, 62, 24, 42, 24, 28]';165;'[14, 21, 14, 14, 12, 31, 12, 21, 12, 14]';7;4;4.6;'[4, 4, 4, 4, 5, 7, 5, 4, 5, 4]';14;8;9.2;'[8, 8, 8, 8, 10, 14, 10, 8, 10, 8]';'33';'238';'119';'10';'92';'46';'0';'0';'0';0.059055340754545445
'[Shrinking::CycleShrink2]';1.4025934500000004;'[0.032102283, 0.136402702, 0.177591781, 0.129863931, 0.076534392, 0.559796288, 0.05727984, 0.031106239, 0.122086018, 0.079829976]';18;306;'[14, 52, 54, 30, 36, 24, 26, 10, 30, 30]';153;'[7, 26, 27, 15, 18, 12, 13, 5, 15, 15]';13;5;7.7;'[7, 6, 11, 7, 7, 7, 13, 5, 7, 7]';26;10;15.4;'[14, 12, 22, 14, 14, 14, 26, 10, 14, 14]';'1';'10';'5';'17';'296';'148';'0';'0';'0';0.0045836387254901976
'[Shrinking::BinaryShrink2]';26.375063149;'[0.577236666, 1.864938601, 1.000980171, 0.567335405, 1.380101722, 1.179192373, 2.266512423, 4.660949793, 1.02642442, 11.851391575]';183;3534;'[71, 343, 165, 83, 111, 83, 248, 479, 81, 1870]';1813;'[38, 175, 85, 44, 58, 47, 125, 248, 43, 950]';17;4;6.8;'[4, 5, 4, 4, 4, 7, 8, 11, 4, 17]';34;8;13.7;'[8, 10, 8, 8, 8, 14, 17, 22, 8, 34]';'9';'148';'73';'72';'2682';'1338';'102';'704';'402';0.007463232356819467
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';15.679510946000002;'[1.589139192, 1.273261483, 1.999788147, 1.486809939, 1.541865718, 1.818298827, 1.970175291, 1.312321415, 1.3606765090000001, 1.3271744250000002]';95;928;'[60, 86, 168, 76, 84, 76, 188, 36, 78, 76]';474;'[31, 44, 85, 39, 43, 39, 95, 19, 40, 39]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';8;8;8.0;'[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]';'21';'144';'72';'54';'744';'372';'20';'40';'30';0.016896024726293105
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';9.575331861999999;'[0.255471965, 0.895619683, 0.6659937739999999, 0.9643394059999999, 0.935811524, 1.319018057, 1.207142162, 1.416822033, 1.051626879, 0.8634863789999999]';100;746;'[53, 82, 127, 60, 83, 53, 113, 38, 77, 60]';396;'[29, 43, 66, 32, 44, 29, 59, 21, 41, 32]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';8;8;8.0;'[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]';'10';'78';'39';'44';'594';'297';'46';'74';'60';0.012835565498659515
