;Total number of test cases ran;Average number of test cases ran per shrink;Total time spent shrinking;Mean time spent per trace;Mean shrinking percentage - total;Mean shrinking percentage - input
ShortestPathShrinker;30;1.0;3.067517636;0.10225058786666666;83.89989428974594;83.83697513309515
ShortestPathLabelCount;30;1.0;38.790872888;1.2930290962666668;83.89989428974594;83.83697513309515
PartialOrderShrinker;30;1.0;2.6036168120000003;0.08678722706666668;83.89989428974594;83.83697513309515
CycleShrink2;43;1.4333333333333333;2.988378272;0.09961260906666666;71.73153492542572;71.62013046996813
BinaryShrink2;617;20.566666666666666;107.729996727;3.5909998909;71.65191417908638;71.61570227089773
CycleShrink2, ElemShrink2;211;7.033333333333333;33.354601167;1.1118200389;81.93467401034837;81.86612736358417
CycleShrink2, BinaryShrink2;211;7.033333333333333;23.061998122;0.7687332707333333;81.26607077175997;81.19252587438348
