;Total number of test cases ran;Average number of test cases ran per shrink;Total time spent shrinking;Mean time spent per trace;Mean shrinking percentage - total;Mean shrinking percentage - input
ShortestPathShrinker;379;7.58;198.76595217999997;3.9753190435999994;74.8314488775339;74.73904728513745
ShortestPathLabelCount;379;7.58;655.416891379;13.108337827580002;74.8314488775339;74.73904728513745
PartialOrderShrinker;94;1.88;29.158480681;0.58316961362;73.75186790896126;73.65419116247415
CycleShrink2;71;1.42;4.806266051;0.09612532101999999;62.41644725112159;62.238535323860354
BinaryShrink2;882;17.64;141.903275826;2.83806551652;64.93224799008678;64.90122026313772
CycleShrink2, ElemShrink2;374;7.48;61.20920280000001;1.2241840560000001;73.6779500178875;73.58224533346795
CycleShrink2, BinaryShrink2;388;7.76;38.594696289000005;0.7718939257800002;73.28550898654214;73.18687054632842
