;Total number of test cases ran;Average number of test cases ran per shrink;Total time spent shrinking;Mean time spent per trace;Mean shrinking percentage - total;Mean shrinking percentage - input
ShortestPathShrinker;349;17.45;195.698434544;9.7849217272;61.94471066017999;61.810412974881764
ShortestPathLabelCount;349;17.45;616.626018491;30.83130092455;61.94471066017999;61.810412974881764
PartialOrderShrinker;64;3.2;26.554863869000002;1.3277431934500001;59.33098831521464;59.18391920422323
CycleShrink2;28;1.4;1.8178877790000003;0.09089438895000002;47.27942978037739;46.993443211435235
BinaryShrink2;265;13.25;34.173279099;1.70866395495;55.383248668876796;55.35958793632079
CycleShrink2, ElemShrink2;163;8.15;27.854601633;1.3927300816500001;61.94471066017999;61.810412974881764
CycleShrink2, BinaryShrink2;177;8.85;15.532698167;0.7766349083499999;61.94471066017999;61.810412974881764
