# Generated on: 2024-07-09 21:45:50.569668302 +0200'# Shrunk Traces 9'
# Start total, inputs: 258, 86'
# Start: [24, 6, 6, 4, 32, 2, 28, 62, 8]'
# Start inputs: [12, 3, 3, 2, 16, 1, 14, 31, 4]'
# Start max, min, avg: 31, 1, 9.555555555555555'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathShrinker]';0.074511385;'[0.007504588, 0.004991771, 0.022995727, 0.004969515, 0.005941904, 0.004352522, 0.017319194, 0.003336688, 0.003099476]';9;24;'[4, 4, 2, 2, 2, 2, 2, 4, 2]';12;'[2, 2, 1, 1, 1, 1, 1, 2, 1]';2;1;1.3333333333333333;'[2, 2, 1, 1, 1, 1, 1, 2, 1]';4;2;2.6666666666666665;'[4, 4, 2, 2, 2, 2, 2, 4, 2]';'0';'0';'0';'9';'24';'12';'0';'0';'0';0.0031046410416666666
'[Shrinking::ShortestPathLabelCount]';0.092464621;'[0.009639683, 0.006243989, 0.009108238, 0.019815826, 0.014679366, 0.006761484, 0.014284033, 0.010218404, 0.001713598]';9;24;'[4, 4, 2, 2, 2, 2, 2, 4, 2]';12;'[2, 2, 1, 1, 1, 1, 1, 2, 1]';2;1;1.3333333333333333;'[2, 2, 1, 1, 1, 1, 1, 2, 1]';4;2;2.6666666666666665;'[4, 4, 2, 2, 2, 2, 2, 4, 2]';'0';'0';'0';'9';'24';'12';'0';'0';'0';0.0038526925416666664
'[Shrinking::PartialOrderShrinker]';0.061585292;'[0.008102929, 0.007924136, 0.001887599, 0.007025829, 0.005510424, 0.005803782, 0.004680898, 0.018131401, 0.002518294]';9;24;'[4, 4, 2, 2, 2, 2, 2, 4, 2]';12;'[2, 2, 1, 1, 1, 1, 1, 2, 1]';2;1;1.3333333333333333;'[2, 2, 1, 1, 1, 1, 1, 2, 1]';4;2;2.6666666666666665;'[4, 4, 2, 2, 2, 2, 2, 4, 2]';'0';'0';'0';'9';'24';'12';'0';'0';'0';0.0025660538333333333
'[Shrinking::CycleShrink2]';0.066957214;'[0.017531033, 0.006457689, 0.005912073, 0.002752081, 0.006257217, 0.007148146, 0.006904357, 0.007055721, 0.006938897]';9;24;'[4, 4, 2, 2, 2, 2, 2, 4, 2]';12;'[2, 2, 1, 1, 1, 1, 1, 2, 1]';2;1;1.3333333333333333;'[2, 2, 1, 1, 1, 1, 1, 2, 1]';4;2;2.6666666666666665;'[4, 4, 2, 2, 2, 2, 2, 4, 2]';'0';'0';'0';'9';'24';'12';'0';'0';'0';0.0027898839166666666
'[Shrinking::BinaryShrink2]';0.210643363;'[0.048973345, 0.008640182, 0.013566583, 0.002192141, 0.044606384, 0.00199516, 0.032910112, 0.046421178, 0.011338278]';31;202;'[33, 3, 6, 2, 40, 2, 26, 78, 12]';103;'[17, 2, 3, 1, 20, 1, 13, 40, 6]';2;1;1.2222222222222223;'[2, 1, 1, 1, 1, 1, 1, 2, 1]';4;2;2.4444444444444446;'[4, 2, 2, 2, 2, 2, 2, 4, 2]';'0';'0';'0';'27';'194';'97';'4';'8';'6';0.0010427889257425742
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';4.615492983999999;'[0.534501334, 0.518563309, 0.510268296, 0.504108902, 0.508580541, 0.5078018750000001, 0.5101238610000001, 0.5142657669999999, 0.507279099]';21;33;'[7, 7, 2, 2, 2, 2, 2, 7, 2]';18;'[4, 4, 1, 1, 1, 1, 1, 4, 1]';2;1;1.3333333333333333;'[2, 2, 1, 1, 1, 1, 1, 2, 1]';4;2;2.6666666666666665;'[4, 4, 2, 2, 2, 2, 2, 4, 2]';'9';'6';'3';'9';'24';'12';'3';'3';'3';0.13986342375757574
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';0.07876143000000001;'[0.018765424000000003, 0.007780815, 0.0070029770000000005, 0.003911703, 0.00722068, 0.008357388, 0.008536773, 0.008070481000000001, 0.009115189]';18;39;'[5, 5, 4, 4, 4, 4, 4, 5, 4]';21;'[3, 3, 2, 2, 2, 2, 2, 3, 2]';2;1;1.3333333333333333;'[2, 2, 1, 1, 1, 1, 1, 2, 1]';4;2;2.6666666666666665;'[4, 4, 2, 2, 2, 2, 2, 4, 2]';'0';'0';'0';'15';'36';'18';'3';'3';'3';0.0020195238461538463
