# Generated on: 2024-07-09 22:33:10.449738252 +0200'# Shrunk Traces 3'
# Start total, inputs: 477, 217'
# Start: [34, 193, 33]'
# Start inputs: [28, 160, 29]'
# Start max, min, avg: 160, 28, 72.33333333333333'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathLabelCount]';0.494452638;'[0.239123143, 0.194473595, 0.0608559]';3;16;'[6, 5, 5]';13;'[5, 4, 4]';5;4;4.333333333333333;'[5, 4, 4]';6;5;5.333333333333333;'[6, 5, 5]';'0';'0';'0';'3';'16';'13';'0';'0';'0';0.030903289875
'[Shrinking::PartialOrderShrinker]';0.15135812;'[0.079537327, 0.056113181, 0.015707612]';3;16;'[6, 5, 5]';13;'[5, 4, 4]';5;4;4.333333333333333;'[5, 4, 4]';6;5;5.333333333333333;'[6, 5, 5]';'0';'0';'0';'3';'16';'13';'0';'0';'0';0.0094598825
'[Shrinking::CycleShrink2]';0.38110403;'[0.149882143, 0.106455946, 0.124765941]';8;76;'[17, 25, 34]';64;'[14, 20, 30]';8;4;6.0;'[6, 4, 8]';9;5;7.0;'[7, 5, 9]';'0';'0';'0';'8';'76';'64';'0';'0';'0';0.005014526710526316
'[Shrinking::BinaryShrink2]';11.675431960000001;'[2.108333935, 6.745668843, 2.821429182]';51;1371;'[86, 1235, 50]';1166;'[78, 1042, 46]';8;4;6.0;'[6, 8, 4]';9;5;7.0;'[7, 9, 5]';'9';'24';'24';'22';'1248';'1043';'20';'99';'99';0.008515997053245806
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';7.2474839410000005;'[2.7543457570000003, 2.198414264, 2.29472392]';26;154;'[44, 37, 73]';137;'[40, 32, 65]';5;4;4.333333333333333;'[5, 4, 4]';6;5;5.333333333333333;'[6, 5, 5]';'13';'46';'46';'13';'108';'91';'0';'0';'0';0.04706158403246753
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';9.265280941;'[3.812591174, 2.695455735, 2.757234032]';28;144;'[48, 37, 59]';129;'[44, 32, 53]';5;4;4.333333333333333;'[5, 4, 4]';6;5;5.333333333333333;'[6, 5, 5]';'17';'51';'51';'11';'93';'78';'0';'0';'0';0.06434222875694445
