# Generated on: 2024-07-09 22:13:22.60771132 +0200'# Shrunk Traces 3'
# Start total, inputs: 2591, 91'
# Start: [18, 34, 51]'
# Start inputs: [16, 31, 44]'
# Start max, min, avg: 44, 16, 30.333333333333332'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathLabelCount]';244.040378943;'[14.742161007, 113.087627741, 116.210590195]';334;2383;'[109, 1158, 1116]';1932;'[79, 929, 924]';7;5;6.0;'[5, 6, 7]';8;7;7.333333333333333;'[7, 7, 8]';'331';'2361';'1914';'3';'22';'18';'0';'0';'0';0.102408887512799
'[Shrinking::PartialOrderShrinker]';36.316969911;'[2.752486509, 8.625972561, 24.938510841]';68;498;'[33, 116, 349]';418;'[22, 99, 297]';8;6;7.0;'[6, 8, 7]';9;8;8.666666666666666;'[8, 9, 9]';'65';'472';'397';'3';'26';'21';'0';'0';'0';0.07292564239156626
'[Shrinking::CycleShrink2]';6.340831328999999;'[0.192538182, 5.586083046, 0.562210101]';11;149;'[45, 86, 18]';131;'[39, 77, 15]';12;10;11.0;'[12, 10, 11]';14;11;12.666666666666666;'[14, 11, 13]';'2';'16';'13';'9';'133';'118';'0';'0';'0';0.04255591495973154
'[Shrinking::BinaryShrink2]';13.568704638;'[0.645556866, 12.093738593, 0.829409179]';50;483;'[152, 161, 170]';433;'[138, 146, 149]';8;6;7.0;'[7, 6, 8]';10;7;8.666666666666666;'[9, 7, 10]';'9';'80';'72';'17';'222';'192';'24';'181';'169';0.028092556186335403
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';15.920409608999998;'[1.191710589, 13.293648405999999, 1.4350506140000001]';44;436;'[159, 159, 118]';381;'[138, 140, 103]';8;5;6.666666666666667;'[7, 5, 8]';10;6;8.333333333333334;'[9, 6, 10]';'9';'64';'54';'22';'261';'225';'13';'111';'102';0.036514700938073394
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';14.561629222999999;'[0.634239958, 12.758794314, 1.168594951]';52;454;'[162, 152, 140]';403;'[145, 133, 125]';8;5;6.666666666666667;'[7, 5, 8]';10;6;8.333333333333334;'[9, 6, 10]';'10';'59';'49';'18';'223';'193';'24';'172';'161';0.0320740731784141
