# Generated on: 2024-07-10 00:00:12.336755375 +0200'# Shrunk Traces 10';;;;;;;;;;;;;;;;;;;;;;;;;
# Start total, inputs: 1873, 621';;;;;;;;;;;;;;;;;;;;;;;;;
# Start: [52, 132, 28, 10, 109, 32, 513, 172, 6, 198]';;;;;;;;;;;;;;;;;;;;;;;;;
# Start inputs: [26, 66, 14, 5, 54, 16, 253, 85, 3, 99]';;;;;;;;;;;;;;;;;;;;;;;;;
# Start max, min, avg: 253, 3, 62.1';;;;;;;;;;;;;;;;;;;;;;;;;
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathShrinker]';0.846396618;'[0.089414266, 0.108777123, 0.083535883, 0.125853839, 0.087080254, 0.137173982, 0.072300793, 0.045853988, 0.073504528, 0.022901962]';10;60;'[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]';30;'[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]';3;3;3;'[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]';6;6;6;'[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]';'0';'0';'0';'10';'60';'30';'0';'0';'0';0.01410661
'[Shrinking::ShortestPathLabelCount]';14.39141083;'[1.566951075, 2.165079217, 1.389670052, 1.985633296, 1.114913906, 1.808738484, 1.379376426, 1.827270179, 1.135614103, 0.018164096]';10;60;'[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]';30;'[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]';3;3;3;'[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]';6;6;6;'[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]';'0';'0';'0';'10';'60';'30';'0';'0';'0';0.239856847
'[Shrinking::PartialOrderShrinker]';1.161667643;'[0.049693031, 0.033740929, 0.030681677, 0.049565609, 0.034412196, 0.096825797, 0.168820237, 0.363108, 0.29454542, 0.040274747]';10;60;'[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]';30;'[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]';3;3;3;'[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]';6;6;6;'[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]';'0';'0';'0';'10';'60';'30';'0';'0';'0';0.019361127
'[Shrinking::CycleShrink2]';1.323185686;'[0.284062868, 0.086857065, 0.218654562, 0.043138181, 0.240786018, 0.220914379, 0.092520091, 0.063674676, 0.038649673, 0.033928173]';16;246;'[74, 18, 28, 10, 54, 22, 18, 10, 6, 6]';123;'[37, 9, 14, 5, 27, 11, 9, 5, 3, 3]';11;3;6.1;'[11, 9, 5, 5, 7, 4, 9, 5, 3, 3]';22;6;12.2;'[22, 18, 10, 10, 14, 8, 18, 10, 6, 6]';'0';'0';'0';'16';'246';'123';'0';'0';'0';0.005378804
'[Shrinking::BinaryShrink2]';68.62726918;'[6.119212334, 16.663782206, 0.533062809, 0.218492518, 8.517621305, 1.71197774, 10.52660757, 9.801103298, 0.104383713, 14.431025684]';305;12261;'[562, 2786, 97, 17, 1060, 273, 2144, 2384, 5, 2933]';6155;'[284, 1413, 51, 10, 530, 145, 1056, 1182, 4, 1480]';16;3;8;'[8, 11, 3, 3, 9, 9, 8, 16, 3, 10]';34;6;16.5;'[16, 22, 6, 6, 18, 18, 16, 34, 6, 20]';'17';'636';'315';'122';'9701';'4804';'166';'1924';'1036';0.0055972
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';11.88465969;'[3.797498763, 0.980927957, 0.965280595, 0.65097319, 1.555333542, 0.859966428, 0.9950887190000001, 0.75304113, 0.674205809, 0.6523435569999999]';77;668;'[228, 72, 50, 32, 102, 36, 88, 32, 14, 14]';344;'[115, 37, 26, 17, 52, 19, 45, 17, 8, 8]';8;3;3.6;'[8, 3, 3, 3, 4, 3, 3, 3, 3, 3]';16;6;7.2;'[16, 6, 6, 6, 8, 6, 6, 6, 6, 6]';'16';'154';'77';'41';'474';'237';'20';'40';'30';0.017791407
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';11.27134421;'[5.269944263, 1.52477484, 0.494517531, 0.349313652, 2.092523086, 0.436057588, 0.44201974899999996, 0.256514765, 0.18954559299999998, 0.216133145]';84;629;'[255, 65, 48, 27, 99, 33, 58, 22, 11, 11]';334;'[130, 35, 26, 15, 52, 18, 31, 13, 7, 7]';8;3;3.6;'[8, 3, 3, 3, 4, 3, 3, 3, 3, 3]';16;6;7.2;'[16, 6, 6, 6, 8, 6, 6, 6, 6, 6]';'12';'160';'80';'33';'412';'206';'39';'57';'48';0.017919466
