# Generated on: 2024-07-09 22:20:25.641340489 +0200'# Shrunk Traces 3'
# Start total, inputs: 683, 314'
# Start: [52, 23, 294]'
# Start inputs: [42, 18, 254]'
# Start max, min, avg: 254, 18, 104.66666666666667'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathLabelCount]';20.256144;'[6.089557416, 7.649095926, 6.517490658]';33;132;'[44, 44, 44]';87;'[29, 29, 29]';4;4;4.0;'[4, 4, 4]';5;5;5.0;'[5, 5, 5]';'30';'117';'75';'3';'15';'12';'0';'0';'0';0.15345563636363635
'[Shrinking::PartialOrderShrinker]';12.251466345999999;'[2.082021695, 7.547455105, 2.621989546]';26;115;'[17, 78, 20]';77;'[11, 52, 14]';5;3;3.6666666666666665;'[3, 5, 3]';7;4;5.0;'[4, 7, 4]';'23';'100';'66';'3';'15';'11';'0';'0';'0';0.10653448996521739
'[Shrinking::CycleShrink2]';5.401327436;'[2.118550913, 2.229352712, 1.053423811]';15;62;'[24, 24, 14]';40;'[15, 15, 10]';5;3;3.6666666666666665;'[3, 5, 3]';7;4;5.0;'[4, 7, 4]';'10';'36';'21';'5';'26';'19';'0';'0';'0';0.0871181844516129
'[Shrinking::BinaryShrink2]';17.38122879;'[3.456815408, 1.263357951, 12.661055431]';110;3780;'[744, 38, 2998]';3269;'[616, 28, 2625]';21;3;11.666666666666666;'[11, 3, 21]';25;4;14.333333333333334;'[14, 4, 25]';'4';'9';'5';'49';'2933';'2480';'57';'838';'784';0.004598208674603175
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';8.569650939999999;'[3.170462583, 3.3067713999999997, 2.092416957]';26;93;'[31, 41, 21]';65;'[21, 28, 16]';3;3;3.0;'[3, 3, 3]';4;4;4.0;'[4, 4, 4]';'16';'51';'33';'7';'36';'26';'3';'6';'6';0.09214678430107526
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';8.523695101000001;'[3.15613306, 3.274795246, 2.092766795]';25;87;'[31, 35, 21]';58;'[20, 23, 15]';3;3;3.0;'[3, 3, 3]';4;4;4.0;'[4, 4, 4]';'16';'51';'30';'6';'30';'22';'3';'6';'6';0.09797350690804599
