# Generated on: 2024-07-09 22:05:03.811441891 +0200'# Shrunk Traces 3'
# Start total, inputs: 1231, 566'
# Start: [360, 124, 181]'
# Start inputs: [305, 106, 155]'
# Start max, min, avg: 305, 106, 188.66666666666666'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathLabelCount]';153.682414;'[13.185338161, 25.210023755, 115.287052084]';183;1347;'[109, 256, 982]';1123;'[79, 201, 843]';8;5;6.666666666666667;'[5, 7, 8]';10;7;8.666666666666666;'[7, 9, 10]';'180';'1321';'1103';'3';'26';'20';'0';'0';'0';0.11409236377134373
'[Shrinking::PartialOrderShrinker]';71.233138747;'[64.48659587, 2.346176862, 4.400366015]';121;767;'[666, 35, 66]';627;'[538, 27, 62]';8;5;6.666666666666667;'[5, 7, 8]';10;7;8.666666666666666;'[7, 9, 10]';'118';'741';'607';'3';'26';'20';'0';'0';'0';0.09287241036114732
'[Shrinking::CycleShrink2]';1.4943029949999997;'[1.003230685, 0.275967328, 0.215104982]';16;272;'[113, 86, 73]';230;'[96, 70, 64]';13;12;12.333333333333334;'[12, 12, 13]';15;14;14.333333333333334;'[14, 14, 15]';'1';'4';'3';'15';'268';'227';'0';'0';'0';0.005493761011029411
'[Shrinking::BinaryShrink2]';14.733115918;'[1.565410412, 0.922727915, 12.244977591]';87;2617;'[623, 265, 1729]';2293;'[535, 239, 1519]';12;7;9.333333333333334;'[7, 9, 12]';15;9;11.666666666666666;'[9, 11, 15]';'10';'114';'99';'40';'2281';'1978';'37';'222';'216';0.00562977299121131
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';7.319986103;'[1.924155737, 1.151186998, 4.244643367999999]';53;611;'[222, 197, 192]';522;'[190, 167, 165]';8;7;7.333333333333333;'[7, 8, 7]';10;9;9.333333333333334;'[9, 10, 9]';'10';'69';'60';'30';'438';'367';'13';'104';'95';0.011980337320785597
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';8.741815752;'[1.791016904, 0.5437017660000001, 6.407097082]';63;620;'[238, 205, 177]';536;'[206, 177, 153]';8;7;7.333333333333333;'[7, 8, 7]';10;9;9.333333333333334;'[9, 10, 9]';'12';'66';'58';'27';'398';'333';'24';'156';'145';0.014099702825806453
