# Generated on: 2024-07-09 22:45:26.139427774 +0200'# Shrunk Traces 3'
# Start total, inputs: 4820, 258'
# Start: [172, 126, 8]'
# Start inputs: [142, 108, 8]'
# Start max, min, avg: 142, 8, 86.0'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathLabelCount]';33.433401714;'[10.222691504, 16.342622352, 6.868087858]';44;319;'[96, 156, 67]';267;'[76, 135, 56]';7;4;5.666666666666667;'[4, 7, 6]';9;6;7.333333333333333;'[6, 9, 7]';'41';'297';'250';'3';'22';'17';'0';'0';'0';0.10480690192476488
'[Shrinking::PartialOrderShrinker]';1.599883297;'[0.544266705, 0.049839778, 1.005776814]';4;20;'[8, 7, 5]';17;'[6, 6, 5]';6;3;4.666666666666667;'[3, 6, 5]';7;4;5.333333333333333;'[4, 7, 5]';'1';'4';'3';'3';'16';'14';'0';'0';'0';0.07999416485000001
'[Shrinking::CycleShrink2]';1.3290280380000001;'[0.102389812, 0.21228049, 1.014357736]';7;74;'[16, 51, 7]';64;'[12, 45, 7]';11;3;7.0;'[3, 11, 7]';12;4;7.666666666666667;'[4, 12, 7]';'0';'0';'0';'7';'74';'64';'0';'0';'0';0.017959838351351353
'[Shrinking::BinaryShrink2]';15.18747868;'[9.837487672, 0.750709789, 4.599281219]';71;2194;'[1988, 188, 18]';1850;'[1664, 168, 18]';14;3;8.0;'[14, 7, 3]';15;3;8.666666666666666;'[15, 8, 3]';'5';'39';'33';'30';'1922';'1597';'36';'233';'220';0.006922278340929808
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';8.279026396999999;'[0.6673943449999999, 1.049450031, 6.562182021]';28;182;'[22, 128, 32]';167;'[18, 117, 32]';6;3;4.0;'[3, 6, 3]';7;3;4.666666666666667;'[4, 7, 3]';'5';'14';'14';'16';'137';'122';'7';'31';'31';0.04548915602747252
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';5.208795577;'[0.115345156, 0.51855149, 4.574898931]';28;165;'[21, 124, 20]';151;'[17, 114, 20]';6;3;4.0;'[3, 6, 3]';7;3;4.666666666666667;'[4, 7, 3]';'3';'6';'6';'13';'115';'101';'12';'44';'44';0.031568458042424245
