# Generated on: 2024-07-10 00:27:22.214041158 +0200'# Shrunk Traces 10';;;;;;;;;;;;;;;;;;;;;;;;;
# Start total, inputs: 732, 244';;;;;;;;;;;;;;;;;;;;;;;;;
# Start: [96, 30, 4, 56, 4, 42, 190, 36, 6, 24]';;;;;;;;;;;;;;;;;;;;;;;;;
# Start inputs: [48, 15, 2, 28, 2, 21, 95, 18, 3, 12]';;;;;;;;;;;;;;;;;;;;;;;;;
# Start max, min, avg: 95, 2, 24.4';;;;;;;;;;;;;;;;;;;;;;;;;
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathShrinker]';0.494356256;'[0.07145144, 0.054087169, 0.081044961, 0.017088288, 0.053116026, 0.040769721, 0.036146202, 0.029845309, 0.055235185, 0.055571955]';10;40;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';20;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';2;2;2;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';4;4;4;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'10';'40';'20';'0';'0';'0';0.012358906
'[Shrinking::ShortestPathLabelCount]';4.906033505;'[0.45218426, 0.449306949, 0.361166966, 0.423622946, 0.760485006, 0.660552575, 0.449815181, 0.421585538, 0.91336656, 0.013947524]';10;40;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';20;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';2;2;2;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';4;4;4;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'10';'40';'20';'0';'0';'0';0.122650838
'[Shrinking::PartialOrderShrinker]';0.625804569;'[0.056786287, 0.046098303, 0.085453721, 0.033191915, 0.066152483, 0.091514011, 0.051452835, 0.087713831, 0.068464375, 0.038976808]';10;40;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';20;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';2;2;2;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';4;4;4;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'10';'40';'20';'0';'0';'0';0.015645114
'[Shrinking::CycleShrink2]';0.353211233;'[0.057072193, 0.034182964, 0.027854229, 0.010461405, 0.022889136, 0.02336224, 0.052567813, 0.059441011, 0.023730066, 0.041650176]';10;40;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';20;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';2;2;2;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';4;4;4;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'10';'40';'20';'0';'0';'0';0.008830281
'[Shrinking::BinaryShrink2]';17.83570032;'[3.105119482, 0.670408642, 0.043266082, 1.426163186, 0.046259434, 1.379591231, 9.160485201, 1.292837225, 0.038393034, 0.673176798]';134;3436;'[495, 75, 1, 353, 1, 241, 2005, 161, 5, 99]';1753;'[252, 41, 1, 181, 1, 125, 1011, 85, 3, 53]';10;2;5;'[6, 5, 2, 6, 2, 6, 10, 6, 2, 5]';20;4;10.4;'[12, 10, 4, 12, 4, 12, 20, 12, 4, 10]';'0';'0';'0';'64';'3146';'1573';'70';'290';'180';0.005190832
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';6.12219386;'[0.643800931, 0.6104319659999999, 0.579397575, 0.5536702480000001, 0.588665423, 0.583725269, 0.671472308, 0.650552284, 0.6049902580000001, 0.635487598]';30;70;'[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]';40;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';2;2;2;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';4;4;4;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';'10';'20';'10';'10';'40';'20';'10';'10';'10';0.087459912
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';0.803951119;'[0.091168569, 0.065870336, 0.061703701, 0.075492852, 0.039282028, 0.051299292999999996, 0.12511761899999999, 0.141311531, 0.07497532300000001, 0.077729867]';20;50;'[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]';30;'[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]';2;2;2;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';4;4;4;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'10';'40';'20';'10';'10';'10';0.016079022
