# Generated on: 2024-07-09 22:16:02.893145898 +0200'# Shrunk Traces 3'
# Start total, inputs: 2677, 42'
# Start: [27, 6, 16]'
# Start inputs: [22, 5, 15]'
# Start max, min, avg: 22, 5, 14.0'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathLabelCount]';1.296599086;'[0.06819503, 0.179329111, 1.049074945]';3;11;'[4, 4, 3]';9;'[3, 3, 3]';3;3;3.0;'[3, 3, 3]';4;3;3.6666666666666665;'[4, 4, 3]';'0';'0';'0';'3';'11';'9';'0';'0';'0';0.11787264418181818
'[Shrinking::PartialOrderShrinker]';1.074981684;'[0.021508046, 0.033449896, 1.020023742]';3;11;'[4, 4, 3]';9;'[3, 3, 3]';3;3;3.0;'[3, 3, 3]';4;3;3.6666666666666665;'[4, 4, 3]';'0';'0';'0';'3';'11';'9';'0';'0';'0';0.09772560763636363
'[Shrinking::CycleShrink2]';2.1390222089999997;'[0.075593258, 0.036076207, 2.027352744]';6;41;'[27, 6, 8]';35;'[22, 5, 8]';5;3;4.0;'[4, 5, 3]';6;3;4.666666666666667;'[5, 6, 3]';'0';'0';'0';'6';'41';'35';'0';'0';'0';0.0521712733902439
'[Shrinking::BinaryShrink2]';8.948823515;'[0.1999905, 1.033746349, 7.715086666]';24;124;'[52, 10, 62]';111;'[44, 8, 59]';4;2;3.0;'[3, 2, 4]';4;3;3.6666666666666665;'[4, 3, 4]';'5';'13';'13';'14';'101';'88';'5';'10';'10';0.07216793157258065
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';5.460507944;'[0.6316074759999999, 1.253236625, 3.575663843]';18;72;'[37, 21, 14]';62;'[31, 17, 14]';3;2;2.6666666666666665;'[3, 2, 3]';4;3;3.3333333333333335;'[4, 3, 3]';'6';'11';'11';'10';'57';'47';'2';'4';'4';0.0758403881111111
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';4.830101693;'[0.137514047, 1.0895858760000001, 3.6030017699999997]';17;65;'[36, 16, 13]';56;'[30, 13, 13]';3;2;2.6666666666666665;'[3, 2, 3]';4;3;3.3333333333333335;'[4, 3, 3]';'5';'8';'8';'9';'52';'43';'3';'5';'5';0.07430925681538461
