# Generated on: 2024-07-09 23:00:35.471538835 +0200'# Shrunk Traces 3'
# Start total, inputs: 288, 131'
# Start: [10, 97, 50]'
# Start inputs: [8, 81, 42]'
# Start max, min, avg: 81, 8, 43.666666666666664'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathLabelCount]';3.988331521;'[1.16634562, 1.127141048, 1.694844853]';10;24;'[6, 6, 12]';21;'[5, 5, 11]';3;2;2.3333333333333335;'[2, 2, 3]';4;3;3.3333333333333335;'[3, 3, 4]';'7';'14';'14';'3';'10';'7';'0';'0';'0';0.16618048004166666
'[Shrinking::PartialOrderShrinker]';1.582553846;'[0.537854019, 0.518899036, 0.525800791]';6;14;'[4, 4, 6]';11;'[3, 3, 5]';3;2;2.3333333333333335;'[2, 2, 3]';4;3;3.3333333333333335;'[3, 3, 4]';'3';'4';'4';'3';'10';'7';'0';'0';'0';0.11303956042857143
'[Shrinking::CycleShrink2]';0.089079541;'[0.01426934, 0.041264316, 0.033545885]';5;26;'[3, 8, 15]';20;'[2, 5, 13]';6;2;3.3333333333333335;'[2, 2, 6]';7;3;4.333333333333333;'[3, 3, 7]';'0';'0';'0';'5';'26';'20';'0';'0';'0';0.003426136192307692
'[Shrinking::BinaryShrink2]';11.143763359;'[0.639467717, 4.968329557, 5.535966085]';74;1557;'[15, 801, 741]';1330;'[11, 663, 656]';13;2;8.0;'[2, 9, 13]';15;3;9.666666666666666;'[3, 11, 15]';'8';'68';'63';'34';'1237';'1023';'32';'252';'244';0.007157201900449582
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';3.239120551;'[1.034491641, 1.055441205, 1.1491877050000001]';15;50;'[5, 10, 35]';40;'[4, 7, 29]';2;2;2.0;'[2, 2, 2]';3;3;3.0;'[3, 3, 3]';'6';'6';'6';'9';'44';'34';'0';'0';'0';0.06478241102
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';1.7059504959999998;'[0.520554323, 0.549768465, 0.635627708]';11;41;'[4, 9, 28]';32;'[3, 6, 23]';2;2;2.0;'[2, 2, 2]';3;3;3.0;'[3, 3, 3]';'3';'3';'3';'8';'38';'29';'0';'0';'0';0.04160854868292682
