# Generated on: 2024-07-09 21:44:12.49024563 +0200'# Shrunk Traces 9'
# Start total, inputs: 402, 134'
# Start: [2, 6, 4, 6, 30, 118, 52, 6, 44]'
# Start inputs: [1, 3, 2, 3, 15, 59, 26, 3, 22]'
# Start max, min, avg: 59, 1, 14.88888888888889'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathShrinker]';0.083806049;'[0.002761695, 0.007225082, 0.004595946, 0.006160665, 0.011726881, 0.040850454, 0.003661557, 0.004735728, 0.002088041]';9;24;'[2, 2, 2, 2, 4, 6, 2, 2, 2]';12;'[1, 1, 1, 1, 2, 3, 1, 1, 1]';3;1;1.3333333333333333;'[1, 1, 1, 1, 2, 3, 1, 1, 1]';6;2;2.6666666666666665;'[2, 2, 2, 2, 4, 6, 2, 2, 2]';'0';'0';'0';'9';'24';'12';'0';'0';'0';0.003491918708333333
'[Shrinking::ShortestPathLabelCount]';0.057338842;'[0.011192033, 0.002955342, 0.009176865, 0.003784387, 0.011131802, 0.006555931, 0.006019945, 0.004890078, 0.001632459]';9;24;'[2, 2, 2, 2, 4, 6, 2, 2, 2]';12;'[1, 1, 1, 1, 2, 3, 1, 1, 1]';3;1;1.3333333333333333;'[1, 1, 1, 1, 2, 3, 1, 1, 1]';6;2;2.6666666666666665;'[2, 2, 2, 2, 4, 6, 2, 2, 2]';'0';'0';'0';'9';'24';'12';'0';'0';'0';0.002389118416666667
'[Shrinking::PartialOrderShrinker]';0.043878831;'[0.002031654, 0.003988533, 0.003832106, 0.004749856, 0.007111989, 0.009655658, 0.004212024, 0.006942694, 0.001354317]';9;24;'[2, 2, 2, 2, 4, 6, 2, 2, 2]';12;'[1, 1, 1, 1, 2, 3, 1, 1, 1]';3;1;1.3333333333333333;'[1, 1, 1, 1, 2, 3, 1, 1, 1]';6;2;2.6666666666666665;'[2, 2, 2, 2, 4, 6, 2, 2, 2]';'0';'0';'0';'9';'24';'12';'0';'0';'0';0.001828284625
'[Shrinking::CycleShrink2]';0.05847437100000001;'[0.001411368, 0.003623883, 0.004048836, 0.003810062, 0.011278159, 0.024675612, 0.005152463, 0.002937789, 0.001536199]';11;48;'[2, 2, 2, 2, 4, 30, 2, 2, 2]';24;'[1, 1, 1, 1, 2, 15, 1, 1, 1]';3;1;1.3333333333333333;'[1, 1, 1, 1, 2, 3, 1, 1, 1]';6;2;2.6666666666666665;'[2, 2, 2, 2, 4, 6, 2, 2, 2]';'0';'0';'0';'11';'48';'24';'0';'0';'0';0.0012182160625000002
'[Shrinking::BinaryShrink2]';0.805215854;'[0.002310292, 0.015867465, 0.002121207, 0.007521997, 0.044752513, 0.094312956, 0.032145137, 0.006179725, 0.600004562]';38;387;'[2, 6, 2, 6, 37, 175, 66, 6, 87]';196;'[1, 3, 1, 3, 19, 89, 33, 3, 44]';3;1;1.3333333333333333;'[1, 1, 1, 1, 2, 3, 1, 1, 1]';6;2;2.6666666666666665;'[2, 2, 2, 2, 4, 6, 2, 2, 2]';'1';'8';'4';'32';'352';'176';'5';'27';'16';0.0020806611214470284
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';4.652961001;'[0.505487261, 0.506563155, 0.5213914369999999, 0.512167947, 0.529154021, 0.543116044, 0.516538775, 0.510681619, 0.507860742]';23;60;'[2, 2, 2, 2, 7, 39, 2, 2, 2]';31;'[1, 1, 1, 1, 4, 20, 1, 1, 1]';2;1;1.2222222222222223;'[1, 1, 1, 1, 2, 2, 1, 1, 1]';4;2;2.4444444444444446;'[2, 2, 2, 2, 4, 4, 2, 2, 2]';'9';'4';'2';'12';'52';'26';'2';'4';'3';0.07754935001666667
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';0.116714548;'[0.003978942, 0.005843978, 0.007962972, 0.007176958, 0.030993815, 0.035466934, 0.009012405000000001, 0.004859424, 0.01141912]';22;71;'[4, 4, 4, 4, 5, 38, 4, 4, 4]';37;'[2, 2, 2, 2, 3, 20, 2, 2, 2]';2;1;1.2222222222222223;'[1, 1, 1, 1, 2, 2, 1, 1, 1]';4;2;2.4444444444444446;'[2, 2, 2, 2, 4, 4, 2, 2, 2]';'0';'0';'0';'19';'66';'33';'3';'5';'4';0.0016438668732394366
