# Generated on: 2024-07-09 21:42:27.534664248 +0200'# Shrunk Traces 10'
# Start total, inputs: 909, 303'
# Start: [264, 76, 14, 6, 32, 48, 62, 16, 68, 20]'
# Start inputs: [132, 38, 7, 3, 16, 24, 31, 8, 34, 10]'
# Start max, min, avg: 132, 3, 30.3'
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathShrinker]';0.085551254;'[0.003983388, 0.002731018, 0.002367433, 0.003319886, 0.037861006, 0.006526673, 0.003214589, 0.007308354, 0.011635986, 0.006602921]';10;40;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';20;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'10';'40';'20';'0';'0';'0';0.0021387813499999997
'[Shrinking::ShortestPathLabelCount]';0.145239387;'[0.022162446, 0.021907122, 0.012503755, 0.020863859, 0.010594726, 0.010775916, 0.010323965, 0.019549209, 0.010419561, 0.006138828]';10;40;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';20;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'10';'40';'20';'0';'0';'0';0.0036309846749999998
'[Shrinking::PartialOrderShrinker]';0.084731404;'[0.018561702, 0.004514867, 0.008957579, 0.00734892, 0.00462746, 0.008189051, 0.00436235, 0.007538348, 0.01703207, 0.003599057]';10;40;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';20;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'10';'40';'20';'0';'0';'0';0.0021182850999999997
'[Shrinking::CycleShrink2]';0.109038076;'[0.008460978, 0.003796082, 0.00517154, 0.003572932, 0.025493072, 0.004917375, 0.034151832, 0.012239568, 0.008333805, 0.002900892]';14;72;'[4, 4, 4, 4, 10, 4, 16, 12, 10, 4]';36;'[2, 2, 2, 2, 5, 2, 8, 6, 5, 2]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';'0';'0';'0';'14';'72';'36';'0';'0';'0';0.0015144177222222222
'[Shrinking::BinaryShrink2]';10.417758973999998;'[1.058289006, 2.118433521, 1.120565188, 0.521926872, 1.240029779, 0.630394494, 1.278298057, 1.144253305, 0.698060236, 0.607508516]';68;876;'[297, 158, 35, 6, 71, 71, 76, 42, 88, 32]';441;'[149, 80, 18, 3, 36, 36, 38, 21, 44, 16]';3;2;2.2;'[2, 2, 3, 2, 3, 2, 2, 2, 2, 2]';6;4;4.4;'[4, 4, 6, 4, 6, 4, 4, 4, 4, 4]';'14';'52';'26';'48';'812';'406';'6';'12';'9';0.011892418920091323
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';10.385080642;'[1.051389201, 1.02825033, 1.039841545, 1.045313373, 1.0439198429999998, 1.017550658, 1.0488332740000001, 1.041140454, 1.0216074279999998, 1.047234536]';34;112;'[8, 8, 8, 8, 14, 8, 20, 16, 14, 8]';56;'[4, 4, 4, 4, 7, 4, 10, 8, 7, 4]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';'20';'40';'20';'14';'72';'36';'0';'0';'0';0.09272393430357143
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';5.311659315;'[0.525590702, 0.5197328920000001, 0.538626662, 0.519059773, 0.569437079, 0.537562468, 0.539542976, 0.520982382, 0.5224029060000001, 0.518721475]';24;92;'[6, 6, 6, 6, 12, 6, 18, 14, 12, 6]';46;'[3, 3, 3, 3, 6, 3, 9, 7, 6, 3]';2;2;2.0;'[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]';4;4;4.0;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';'10';'20';'10';'14';'72';'36';'0';'0';'0';0.057735427336956524
