# Generated on: 2024-07-10 00:15:26.418182807 +0200'# Shrunk Traces 10';;;;;;;;;;;;;;;;;;;;;;;;;
# Start total, inputs: 232, 77';;;;;;;;;;;;;;;;;;;;;;;;;
# Start: [18, 12, 10, 14, 30, 16, 8, 14, 23, 10]';;;;;;;;;;;;;;;;;;;;;;;;;
# Start inputs: [9, 6, 5, 7, 15, 8, 4, 7, 11, 5]';;;;;;;;;;;;;;;;;;;;;;;;;
# Start max, min, avg: 15, 4, 7.7';;;;;;;;;;;;;;;;;;;;;;;;;
shrinker;time;times;nr_tests;nr_steps;steps;nr_inputs;inputs;end_max;end_min;end_avg;end;end_all_max;end_all_min;end_all_avg;end_all;nr_passed_tests;nr_passed_steps;nr_passed_inputs;nr_failed_tests;nr_failed_steps;nr_failed_inputs;nr_unr_tests;nr_unr_steps;nr_unr_inputs;time_step
'[Shrinking::ShortestPathShrinker]';135.615593;'[14.547873711, 17.91952431, 14.089610723, 14.007093582, 13.870411824, 15.395890908, 13.783163547, 14.651210483, 2.531886708, 14.81892722]';238;1800;'[188, 236, 192, 188, 188, 206, 188, 188, 38, 188]';900;'[94, 118, 96, 94, 94, 103, 94, 94, 19, 94]';4;4;4;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';8;8;8;'[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]';'228';'1720';'860';'10';'80';'40';'0';'0';'0';0.075341996
'[Shrinking::ShortestPathLabelCount]';445.2176466;'[57.508422871, 64.654362081, 46.913065911, 44.890097821, 42.724677406, 50.706047326, 42.929161075, 43.98823009, 9.070255654, 41.833326342]';238;1800;'[188, 236, 192, 188, 188, 206, 188, 188, 38, 188]';900;'[94, 118, 96, 94, 94, 103, 94, 94, 19, 94]';4;4;4;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';8;8;8;'[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]';'228';'1720';'860';'10';'80';'40';'0';'0';'0';0.247343137
'[Shrinking::PartialOrderShrinker]';7.06660142;'[0.885045478, 0.661708878, 0.610916701, 0.660261292, 0.626836011, 0.622581182, 0.590668764, 0.580387962, 0.651531617, 1.176663535]';21;146;'[14, 14, 14, 14, 14, 14, 14, 14, 14, 20]';73;'[7, 7, 7, 7, 7, 7, 7, 7, 7, 10]';4;4;4;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';8;8;8;'[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]';'11';'66';'33';'10';'80';'40';'0';'0';'0';0.04840138
'[Shrinking::CycleShrink2]';0.415294329;'[0.0703864, 0.05355935, 0.056630378, 0.045311991, 0.037903506, 0.027627624, 0.036827937, 0.037917444, 0.027985744, 0.021143955]';10;116;'[12, 12, 10, 10, 18, 14, 8, 14, 10, 8]';58;'[6, 6, 5, 5, 9, 7, 4, 7, 5, 4]';9;4;5.8;'[6, 6, 5, 5, 9, 7, 4, 7, 5, 4]';18;8;11.6;'[12, 12, 10, 10, 18, 14, 8, 14, 10, 8]';'0';'0';'0';'10';'116';'58';'0';'0';'0';0.003580124
'[Shrinking::BinaryShrink2]';7.79821595;'[0.775441701, 0.907175422, 0.826542408, 0.803947859, 1.170984849, 0.44453205, 0.705073133, 0.772376218, 0.736095218, 0.656047092]';82;501;'[48, 30, 20, 44, 201, 41, 14, 39, 44, 20]';275;'[26, 17, 12, 24, 106, 23, 9, 22, 24, 12]';7;4;4.3;'[4, 4, 4, 4, 7, 4, 4, 4, 4, 4]';14;8;9;'[8, 8, 8, 8, 14, 8, 8, 8, 8, 8]';'7';'42';'21';'26';'340';'170';'49';'119';'84';0.015565301
'[Shrinking::CycleShrink2, Shrinking::ElemShrink2]';12.17509069;'[1.2011907750000002, 1.214295171, 1.2866860519999999, 1.1573016729999999, 1.4004119819999998, 1.240807437, 1.161000251, 1.2590249900000001, 1.141925936, 1.1124464200000002]';68;456;'[46, 46, 34, 34, 94, 60, 24, 60, 34, 24]';238;'[24, 24, 18, 18, 48, 31, 13, 31, 18, 13]';4;4;4;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';8;8;8;'[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]';'20';'120';'60';'28';'296';'148';'20';'40';'30';0.02669976
'[Shrinking::CycleShrink2, Shrinking::BinaryShrink2]';5.957366305;'[0.748414095, 0.787183687, 0.677061192, 0.683927626, 0.313143173, 0.29785669400000003, 0.8018280289999999, 0.285240164, 0.718869409, 0.643842236]';77;397;'[42, 42, 30, 30, 73, 53, 22, 53, 30, 22]';220;'[23, 23, 17, 17, 39, 29, 13, 29, 17, 13]';4;4;4;'[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]';8;8;8;'[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]';'7';'42';'21';'27';'284';'142';'43';'71';'57';0.01500596
